mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.13751091957092285,0.0021345509670843256,0.017614030838012697,0.004366881525076402,0.0001,{'alpha': 0.0001},-1978.2316747527984,-1951.5273908037973,-1935.0736820423654,-1969.2132307562101,-1971.9824423953964,-1961.2056841501133,15.790469107569292,6
0.12369027137756347,0.018970857956238586,0.026540136337280272,0.009378723466998962,0.001,{'alpha': 0.001},-1978.2311758261085,-1951.5266450096797,-1935.0737491899217,-1969.2130120507347,-1971.982406242996,-1961.2053976638879,15.790403598515352,5
0.07655982971191407,0.011572768019397673,0.021368932723999024,0.004660309318530209,0.01,{'alpha': 0.01},-1978.2261851783803,-1951.5191873016163,-1935.0744154206486,-1969.2108262352442,-1971.9820753839772,-1961.2025379039733,15.789754527507947,4
0.07208733558654785,0.011765745114099151,0.02270369529724121,0.0064718930454382845,0.1,{'alpha': 0.1},-1978.1761967385526,-1951.4446912825701,-1935.0805882528782,-1969.1890840942133,-1971.9783306597487,-1961.1737782055927,15.783379945099659,3
0.07472200393676758,0.006481633933872673,0.020960140228271484,0.006498116505446581,1,{'alpha': 1},-1977.9029431872832,-1950.7346866622136,-1935.1199136228333,-1968.9849320876783,-1971.9123094858394,-1960.9309570091696,15.771358985780067,2
0.09373807907104492,0.02549584198824602,0.02282562255859375,0.006262897156261214,10,{'alpha': 10},-1978.091419997347,-1948.0354961586665,-1935.2377390085605,-1967.5962740051696,-1970.7420835460891,-1959.9406025431665,15.85368409223065,1
0.07679319381713867,0.007438732324147577,0.0278076171875,0.012278292144404053,100,{'alpha': 100},-1984.5487912410053,-1951.5031624340318,-1940.885364748223,-1970.273612298161,-1967.5948116559166,-1962.9611484754678,15.228886716358057,7
0.08681025505065917,0.010966382760760392,0.019629859924316408,0.0023477915800895754,1000,{'alpha': 1000},-2141.347111282836,-2102.7290658435895,-2099.126476596811,-2149.4894633936447,-2148.958181987918,-2128.33005982096,22.587357429354093,8
0.07605152130126953,0.006786903311392086,0.016577911376953126,0.0015094776872964628,10000,{'alpha': 10000},-2596.481206004646,-2530.100315101691,-2543.306197305981,-2631.1877767103156,-2620.350335855859,-2584.2851661956984,40.65604186850373,9
0.06413884162902832,0.00824735202050421,0.010837173461914063,0.0034973443463389414,100000,{'alpha': 100000},-2806.19882156042,-2729.818908157328,-2773.7152947244217,-2862.2420722805477,-2833.8162121150704,-2801.1582617675576,46.1857135581316,10
